# 1      Please keep this file sorted alphabetically (ascending) and clear of duplicates
# 2      In VS Code you can do this with:
# 3      ctrl+shift+p > Delete Duplicate Lines
# 4      ctrl+shift+p > Sort Lines Ascending
# 5
# 6      Format:
# 7      manifest | source code
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-episodepostergenerator/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-episodepostergenerator
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-livechannels/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-livechannels
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-serversync/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-serversync
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-usermanagement/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-usermanagement
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-youtubeaudio/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-youtubeaudio
https://raw.githubusercontent.com/JPVenson/Jellyfin.BetterDefaultProfilePictures.Plugin/refs/heads/master/manifest.json | https://github.com/JPVenson/Jellyfin.BetterDefaultProfilePictures.Plugin
https://raw.githubusercontent.com/jyourstone/jellyfin-plugin-manifest/main/manifest.json | https://github.com/jyourstone/jellyfin-plugin-manifest
https://raw.githubusercontent.com/jyourstone/jellyfin-plugin-manifest/master/manifest.json | https://github.com/jyourstone/jellyfin-musictags-plugin
https://raw.githubusercontent.com/k-matti/jellyfin-plugin-repository/master/manifest.json | https://github.com/k-matti/jellyfin-plugin-repository
https://raw.githubusercontent.com/K3ntas/jellyfin-plugin-ratings/main/manifest.json | https://github.com/K3ntas/jellyfin-plugin-ratings
https://raw.githubusercontent.com/kamilkosek/jellyfin-plugin-provider-stuff/main/manifest.json | https://github.com/kamilkosek/jellyfin-plugin-provider-stuff
https://raw.githubusercontent.com/kamoba/jellyfin-plugin-thedwarfshammer/main/manifest.json | https://github.com/Kamoba/jellyfin-plugin-thedwarfshammer
https://raw.githubusercontent.com/KeksBombe/jellyfin-plugin-auto-collections/refs/heads/main/manifest.json | https://github.com/KeksBombe/jellyfin-plugin-auto-collections
https://raw.githubusercontent.com/kf7mxe/Inglenook-jellyfin-plugin/master/manifest.json | https://github.com/kf7mxe/Inglenook-jellyfin-plugin
https://raw.githubusercontent.com/kinggeorges12/JellyBridge/refs/heads/main/manifest.json | https://github.com/kinggeorges12/JellyBridge
